Timestamp,iSTAR i8,Input Port
08/03/23 10:46:55,---,---,TEST #0 Trial:0
08/03/23 10:46:55,i8.1,input 0 ACTIVE,
08/03/23 10:46:56,i8.1,input 0 INACTIVE,
08/03/23 10:46:57,i8.1,input 1 ACTIVE,
08/03/23 10:46:58,i8.1,input 1 INACTIVE,
08/03/23 10:46:59,i8.1,input 2 ACTIVE,
08/03/23 10:47:00,i8.1,input 2 INACTIVE,
08/03/23 10:47:01,i8.1,input 3 ACTIVE,
08/03/23 10:47:02,i8.1,input 3 INACTIVE,
08/03/23 10:47:03,i8.1,input 4 ACTIVE,
08/03/23 10:47:04,i8.1,input 4 INACTIVE,
08/03/23 10:47:05,i8.1,input 5 ACTIVE,
08/03/23 10:47:06,i8.1,input 5 INACTIVE,
08/03/23 10:47:07,i8.1,input 6 ACTIVE,
08/03/23 10:47:08,i8.1,input 6 INACTIVE,
08/03/23 10:47:09,i8.1,input 7 ACTIVE,
08/03/23 10:47:10,i8.1,input 7 INACTIVE,
08/03/23 10:47:11,---,---,END OF TEST #0 Trial: 0
08/03/23 10:47:11,---,---,TEST #0 Trial:0
08/03/23 10:47:11,i8.2,input 0 ACTIVE,
08/03/23 10:47:12,i8.2,input 0 INACTIVE,
08/03/23 10:47:13,i8.2,input 1 ACTIVE,
08/03/23 10:47:14,i8.2,input 1 INACTIVE,
08/03/23 10:47:15,i8.2,input 2 ACTIVE,
08/03/23 10:47:16,i8.2,input 2 INACTIVE,
08/03/23 10:47:17,i8.2,input 3 ACTIVE,
08/03/23 10:47:18,i8.2,input 3 INACTIVE,
08/03/23 10:47:19,i8.2,input 4 ACTIVE,
08/03/23 10:47:20,i8.2,input 4 INACTIVE,
08/03/23 10:47:22,i8.2,input 5 ACTIVE,
08/03/23 10:47:23,i8.2,input 5 INACTIVE,
08/03/23 10:47:24,i8.2,input 6 ACTIVE,
08/03/23 10:47:25,i8.2,input 6 INACTIVE,
08/03/23 10:47:26,i8.2,input 7 ACTIVE,
08/03/23 10:47:27,i8.2,input 7 INACTIVE,
08/03/23 10:47:28,---,---,END OF TEST #0 Trial: 0
08/03/23 10:47:28,---,---,TEST #0 Trial:0
08/03/23 10:47:28,i8.3,input 0 ACTIVE,
08/03/23 10:47:29,i8.3,input 0 INACTIVE,
08/03/23 10:47:30,i8.3,input 1 ACTIVE,
08/03/23 10:47:31,i8.3,input 1 INACTIVE,
08/03/23 10:47:32,i8.3,input 2 ACTIVE,
08/03/23 10:47:33,i8.3,input 2 INACTIVE,
08/03/23 10:47:34,i8.3,input 3 ACTIVE,
08/03/23 10:47:35,i8.3,input 3 INACTIVE,
08/03/23 10:47:36,i8.3,input 4 ACTIVE,
08/03/23 10:47:37,i8.3,input 4 INACTIVE,
08/03/23 10:47:38,i8.3,input 5 ACTIVE,
08/03/23 10:47:39,i8.3,input 5 INACTIVE,
08/03/23 10:47:40,i8.3,input 6 ACTIVE,
